customer_id,amount_requested,birth_date,status,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,payment_amount,amount_approved,duration_approved,payment_amount_approved,address_zip,email,bank_routing_number,email_duration,residence_duration,bank_account_duration,payment_frequency,home_phone_type,other_phone_type,how_use_money,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,loan performance
0dba6b011d,500,12/27/1982 00:00,Approved,TRUE,1265,TRUE,10/27/2010 14:12,6,TRUE,13,77.39,500,6,None,84095,DorothyJBoerger@yahoo.com,124001545,1 year or more,6 months or less,1-2 years,Bi-weekly,Mobile,None,Other,4160,586,527,525,637,592,-1
96acbba7ed,400,5/9/1948 00:00,Approved,FALSE,1175,TRUE,10/27/2010 19:10,4,TRUE,8,86.79,400,4,None,84319,NikkiTMcQueen@yahoo.com,324377516,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,5326,564,526,547,677,598,-1
289421d82a,500,3/31/1989 00:00,Approved,FALSE,0,TRUE,10/28/2010 07:50,6,TRUE,12,84.03,500,6,None,84118,LillieEMartin@gmail.com,122238585,1 year or more,3+ years,6 months or less,Semi-monthly,Home,None,Other,2200,663,501,501,623,531,-1
757f469cbe,500,9/30/1992 00:00,Approved,TRUE,720,TRUE,10/28/2010 18:50,4,TRUE,17,51.17,500,4,None,84015,AracelySDavis@hotmail.com,324377613,1 year or more,6 months or less,6 months or less,Weekly,Mobile,None,Other,2400,523,501,501,501,501,-1
ae03151fee,500,6/8/1980 00:00,Approved,TRUE,190,TRUE,10/30/2010 11:53,6,TRUE,13,77.39,500,6,None,84321,ZacharySScott@hotmail.com,124002971,1 year or more,7-12 months,1-2 years,Bi-weekly,Mobile,None,Other,1200,712,585,663,711,603,2
4ad5645ab4,400,4/11/1985 00:00,Approved,TRUE,0,FALSE,10/31/2010 21:00,4,TRUE,17,40.93,400,4,None,84070,BuddyFMulhall@hotmail.com,61120000,4-12 months,3+ years,6 months or less,Weekly,Mobile,Mobile,Other,1920,765,654,675,728,625,-1
1d5ef602c4,250,10/5/1987 00:00,Approved,TRUE,860,FALSE,10/31/2010 21:43,4,TRUE,8,54.24,250,4,None,84119,HelenPHarvey@gmail.com,21409169,1 year or more,1-2 years,6 months or less,Bi-weekly,Home,None,Other,1200,252,501,535,628,544,-1
c4031886fc,400,6/6/1988 00:00,Approved,TRUE,300,TRUE,11/1/2010 09:59,6,TRUE,12,67.22,400,6,None,84720,AndrewTRodriguez@hotmail.com,124002971,1 year or more,6 months or less,3+ years,Semi-monthly,Mobile,None,Other,1160,734,614,642,693,583,-1
6a0eee2c2f,500,12/4/1981 00:00,Approved,TRUE,750,TRUE,11/1/2010 11:39,6,TRUE,13,77.39,500,6,None,84010,HermaRJackson@hotmail.com,324377516,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,9000,537,592,644,667,630,-1
a91c516d95,500,5/29/1982 00:00,Approved,TRUE,650,TRUE,11/1/2010 17:50,6,TRUE,13,77.39,500,6,None,84124,PatriciaTJames@bing.com,31101169,1 year or more,6 months or less,6 months or less,Bi-weekly,Mobile,None,Other,600,645,501,501,649,557,-1
f0ad440808,500,5/13/1973 00:00,Approved,TRUE,635,TRUE,11/1/2010 19:08,6,TRUE,26,38.26,500,6,None,84501,TeresaJCayer@aol.com,124000054,1 year or more,3+ years,3+ years,Weekly,Mobile,Home,Other,3600,557,525,538,648,599,-1
b4f2e3f3a3,800,12/7/1977 00:00,Approved,TRUE,889,TRUE,11/2/2010 20:17,6,TRUE,12,84.03,500,6,73.34,84015,ScottJWest@yahoo.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,None,Other,2580,602,559,606,652,606,2
f51a0a7f1e,300,3/31/1980 00:00,Approved,TRUE,0,TRUE,11/3/2010 08:03,6,TRUE,13,46.43,300,6,40.54,84401,AnnJLuster@hotmail.com,124303065,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Home,Other,429,616,501,555,622,587,-1
16ae98338a,500,3/25/1981 00:00,Approved,TRUE,650,TRUE,11/3/2010 16:58,6,TRUE,12,84.03,500,6,73.34,84103,RebeccaRDelacruz@hotmail.com,124002971,1 year or more,1-2 years,3+ years,Semi-monthly,Mobile,None,Other,4500,716,524,540,664,580,1
b65c5bf553,800,2/19/1980 00:00,Approved,TRUE,700,TRUE,11/4/2010 09:23,8,TRUE,13,77.39,500,6,67.57,84123,RamonaWRoller@gmail.com,211382850,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,Work,Other,4200,530,573,600,596,600,-1
2345f147a8,800,5/16/1976 00:00,Approved,FALSE,0,TRUE,11/4/2010 10:09,7,TRUE,15,113.56,800,7,97.56,84088,JamesBOConnor@bing.com,122100024,1 year or more,1-2 years,3+ years,Bi-weekly,Mobile,Mobile,Other,1200,733,518,550,614,575,-1
ae74ebdb3a,500,3/30/1959 00:00,Approved,TRUE,1100,TRUE,11/4/2010 10:24,5,TRUE,5,193.91,500,5,171.47,84103,LynwoodRGreer@yahoo.com,324079474,1 year or more,1-2 years,3+ years,Monthly,Home,Mobile,Other,3007,771,570,560,680,611,-1
e55a9a7293,700,3/17/1962 00:00,Approved,TRUE,750,TRUE,11/4/2010 22:34,5,TRUE,10,129.04,700,5,115.62,84123,NancyHDougan@yahoo.com,324377516,4-12 months,3+ years,1-2 years,Bi-weekly,Mobile,None,Other,5260,645,556,556,669,604,-1
790388f19a,500,3/6/1968 00:00,Approved,TRUE,0,TRUE,11/6/2010 00:32,5,TRUE,10,94.7,500,5,84.18,84003,EmilyDMendoza@bing.com,124302150,1 year or more,7-12 months,6 months or less,Semi-monthly,Mobile,None,Other,2400,544,611,609,680,617,-1
d8583e2e58,500,5/12/1975 00:00,Approved,TRUE,0,TRUE,11/6/2010 05:35,5,TRUE,10,92.17,500,5,82.58,84095,DerrickALarson@yahoo.com,324379828,4-12 months,6 months or less,6 months or less,Bi-weekly,Mobile,None,Other,1200,638,534,549,618,560,-1
161bfb5807,500,10/31/1974 00:00,Approved,TRUE,89,TRUE,11/6/2010 23:29,5,TRUE,10,92.17,500,5,82.58,84067,BariJGreen@hotmail.com,124002971,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,Home,Other,1120,762,543,563,639,598,-1
59c2cf163e,500,2/20/1947 00:00,Approved,TRUE,800,TRUE,11/8/2010 13:08,5,TRUE,5,193.91,500,5,171.47,84120,JuneLEvans@bing.com,101089742,1 year or more,3+ years,3+ years,Monthly,Home,Mobile,Other,2100,661,535,576,676,593,1
7d724fba2a,500,11/9/1964 00:00,Approved,TRUE,400,TRUE,11/8/2010 13:28,5,TRUE,5,193.91,500,5,171.47,84721,RebeccaFEvans@bing.com,114924742,1 year or more,1-2 years,3+ years,Monthly,Mobile,None,Other,1100,716,517,520,605,564,1
cc53bd5220,600,8/30/1967 00:00,Approved,TRUE,220,TRUE,11/10/2010 15:03,5,TRUE,10,110.61,600,5,99.1,84532,JenniferLPhillips@hotmail.com,324377286,1 year or more,3+ years,3+ years,Bi-weekly,Home,Mobile,Other,4000,765,542,580,671,620,-1
213c714e9f,300,5/26/1960 00:00,Approved,FALSE,1143,TRUE,11/10/2010 15:35,3,TRUE,13,37.73,300,3,35.05,84655,SusanWCox@yahoo.com,124002971,1 year or more,3+ years,6 months or less,Weekly,Mobile,Home,Other,3652,586,580,569,680,627,1
cfe9e0dc5e,800,2/24/1961 00:00,Approved,FALSE,891,TRUE,11/10/2010 23:30,5,TRUE,5,193.91,500,5,171.47,84062,LillianSBunger@hotmail.com,324377516,1 year or more,3+ years,3+ years,Monthly,Mobile,Mobile,Other,1500,600,622,659,698,656,1
f6bdc68cf8,500,7/22/1986 00:00,Approved,TRUE,0,TRUE,11/13/2010 13:36,5,TRUE,10,92.17,500,5,82.58,84057,DennisJCallison@hotmail.com,51000017,1 year or more,1-2 years,6 months or less,Bi-weekly,Mobile,Mobile,Other,2400,541,531,547,680,582,1
38e888a4db,500,8/13/1979 00:00,Approved,TRUE,129,TRUE,11/13/2010 14:58,5,TRUE,5,193.91,500,5,171.47,84088,ElijahDBayerl@hotmail.com,124002971,1 year or more,3+ years,3+ years,Monthly,Mobile,None,Other,1718,734,543,570,654,598,-1
063080fb2b,700,2/20/1947 00:00,Approved,TRUE,800,TRUE,11/13/2010 20:32,5,TRUE,5,193.91,500,5,171.47,84120,JanineRFairfield@aol.com,101089742,1 year or more,3+ years,3+ years,Monthly,Home,Mobile,Other,2100,661,535,576,676,593,1
096f7fdd06,600,11/4/1989 00:00,Approved,TRUE,0,FALSE,11/15/2010 16:00,8,TRUE,12,84.03,500,6,73.34,84095,RubyWGaines@bing.com,122238585,1 year or more,1-2 years,6 months or less,Semi-monthly,Mobile,None,Other,960,642,502,503,648,534,-1
c814f62edd,400,2/25/1981 00:00,Approved,TRUE,400,TRUE,11/15/2010 17:14,5,TRUE,21,35.21,400,5,31.5,84118,HowardBMiller@aol.com,125000105,1 year or more,7-12 months,6 months or less,Weekly,Mobile,Home,Other,1400,581,507,535,614,586,-1
3744b9845d,500,6/4/1960 00:00,Approved,FALSE,1172,TRUE,11/15/2010 17:14,5,TRUE,5,109.18,500,5,109.18,84404,MargaretJTatum@yahoo.com,124002971,1 year or more,3+ years,1-2 years,Monthly,Home,Mobile,Other,4191,766,618,623,680,631,1
b86063bf54,500,3/14/1954 00:00,Approved,FALSE,960,TRUE,11/15/2010 18:47,5,TRUE,5,193.91,500,5,171.47,84041,RobertNCorchado@gmail.com,324377613,1 year or more,3+ years,7-12 months,Monthly,Home,None,Other,3400,591,607,612,680,640,2
61ac7c10c7,500,11/30/1963 00:00,Approved,TRUE,550,FALSE,11/16/2010 15:34,5,TRUE,10,92.17,500,5,82.58,84404,CharlotteLYbarra@bing.com,31101169,1 year or more,3+ years,1-2 years,Bi-weekly,Mobile,None,Other,1200,765,533,542,654,560,-1
2a2617c97d,500,11/30/1969 00:00,Approved,FALSE,1100,TRUE,11/16/2010 19:56,5,TRUE,10,92.17,500,5,82.58,84040,MatthewNBergeron@aol.com,124001545,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,4000,765,624,659,700,641,1
d312d7c101,800,3/26/1978 00:00,Approved,TRUE,200,TRUE,11/17/2010 16:15,7,TRUE,15,113.56,800,7,97.56,84098,JoseVWalker@gmail.com,124000737,1 year or more,3+ years,1-2 years,Bi-weekly,Mobile,Work,Other,3376,808,528,550,680,601,-1
4ccdce892b,500,1/8/1980 00:00,Approved,TRUE,871,TRUE,11/18/2010 07:19,5,TRUE,10,92.17,500,5,82.58,84096,ShirleyJCheatham@bing.com,324079555,1 year or more,6 months or less,1-2 years,Bi-weekly,Mobile,None,Other,2040,716,540,553,650,612,-1
7709edf805,800,12/19/1990 00:00,Approved,TRUE,0,TRUE,11/18/2010 22:50,8,TRUE,12,84.03,500,6,73.34,84037,MiltonFJohnson@gmail.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,None,Other,2000,768,648,649,713,594,-1
03bff4b96f,500,11/18/1968 00:00,Approved,TRUE,700,TRUE,11/19/2010 13:34,5,TRUE,10,92.17,500,5,82.58,84721,MatthewAChristian@hotmail.com,324079555,1 year or more,6 months or less,6 months or less,Bi-weekly,Mobile,None,Other,1600,544,574,584,671,612,-1
2061a0ba7e,300,12/12/1961 00:00,Approved,FALSE,1100,TRUE,11/19/2010 18:18,5,TRUE,10,56.82,300,5,50.51,84115,EboniWHeenan@bing.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,None,Other,3990,601,630,657,705,651,1
b158a1fb49,500,10/14/1970 00:00,Approved,FALSE,0,TRUE,11/21/2010 04:22,5,TRUE,21,44.01,500,5,39.37,84655,DorothyJHeideman@gmail.com,31100209,1 year or more,6 months or less,6 months or less,Weekly,Mobile,None,Other,1200,716,514,532,647,566,-1
3dab7661bc,800,5/13/1973 00:00,Approved,TRUE,635,TRUE,11/21/2010 15:24,6,TRUE,26,61.22,800,6,53.58,84501,DavidLGriffith@bing.com,124000054,1 year or more,3+ years,3+ years,Weekly,Mobile,None,Other,3000,719,525,538,648,599,-1
84e158c07c,500,3/6/1968 00:00,Approved,TRUE,0,TRUE,11/21/2010 23:54,5,TRUE,5,193.91,500,5,171.47,84003,RobinCMansfield@bing.com,124302150,1 year or more,7-12 months,7-12 months,Monthly,Mobile,None,Other,1700,544,611,609,680,617,1
b3f8618085,500,10/12/1956 00:00,Approved,TRUE,180,TRUE,11/22/2010 00:05,5,TRUE,10,92.17,500,5,82.58,84302,YanAMay@gmail.com,124002971,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,None,Other,1952,550,572,599,648,607,-1
de3f3759c5,500,9/6/1966 00:00,Approved,FALSE,1508,TRUE,11/22/2010 06:55,5,TRUE,10,92.17,500,5,82.58,84093,CraigAVega@hotmail.com,324377613,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,5600,603,564,564,680,618,1
a58918ea5f,500,7/6/1958 00:00,Approved,FALSE,0,TRUE,11/22/2010 07:44,6,TRUE,26,38.26,500,6,33.49,84092,IreneDLicon@gmail.com,324377516,1 year or more,3+ years,3+ years,Weekly,Mobile,None,Other,2000,638,558,605,680,617,-1
438f15880d,500,9/17/1970 00:00,Approved,FALSE,0,TRUE,11/22/2010 08:58,6,TRUE,13,77.39,500,6,67.57,84093,DorisTKaplan@aol.com,124000737,1 year or more,3+ years,6 months or less,Bi-weekly,Home,Mobile,Other,3000,612,527,515,656,583,-1
6b0eb405a9,800,1/12/1950 00:00,Approved,FALSE,0,TRUE,11/22/2010 08:59,8,TRUE,13,77.39,500,6,67.57,84014,RobertRWard@hotmail.com,324078899,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,1934,547,565,597,680,596,-1
2bb71af254,800,6/20/1961 00:00,Approved,TRUE,450,TRUE,11/22/2010 22:01,8,TRUE,12,84.03,500,6,73.34,84115,EmilyCRoberts@bing.com,324377202,3 months or less,3+ years,3+ years,Semi-monthly,Home,Mobile,Other,1600,713,532,598,580,589,1
a5dc7f28a0,800,12/19/1952 00:00,Approved,TRUE,715,TRUE,11/23/2010 04:52,6,TRUE,6,171.75,500,6,149.24,84047,AmyTBush@bing.com,324079555,1 year or more,3+ years,3+ years,Monthly,Mobile,None,Other,2044,621,501,501,597,580,-1
69ab210ca1,500,9/4/1958 00:00,Approved,TRUE,1065,TRUE,11/23/2010 15:19,5,TRUE,10,92.17,500,5,82.58,84088,BettyRPeterson@aol.com,324377516,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,None,Other,3066,589,535,535,648,604,-1
eeec4eb4da,500,7/12/1977 00:00,Approved,TRUE,150,TRUE,11/24/2010 16:16,5,TRUE,5,193.91,500,5,171.47,84128,LindaAPerry@hotmail.com,124001545,1 year or more,1-2 years,6 months or less,Monthly,Mobile,Home,Other,2351,763,526,544,660,561,1
651bfa844b,800,10/8/1989 00:00,Approved,TRUE,625,TRUE,11/24/2010 21:16,8,TRUE,13,77.39,500,6,67.57,84105,MildredBThomas@hotmail.com,324377516,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,None,Other,1400,716,501,536,618,543,-1
670150fcc4,500,11/16/1957 00:00,Approved,TRUE,0,FALSE,11/26/2010 07:25,5,TRUE,10,92.17,500,5,82.58,84096,WilliamWPonce@yahoo.com,124302150,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Work,Other,900,541,535,579,680,608,-1
6856486a4f,800,2/19/1971 00:00,Approved,TRUE,400,FALSE,11/26/2010 09:39,5,TRUE,21,44.01,500,5,39.37,84526,NickJJackson@gmail.com,124000737,4-12 months,3+ years,6 months or less,Weekly,Mobile,None,Other,2000,745,501,548,644,558,-1
5974458fa5,800,11/2/1967 00:00,Approved,TRUE,400,TRUE,11/27/2010 06:20,5,TRUE,21,44.01,500,5,39.37,84096,ChrisCHaggins@bing.com,324377516,1 year or more,6 months or less,3+ years,Weekly,Mobile,None,Other,2240,544,586,596,664,592,-1
4ffa8ffab7,500,9/3/1968 00:00,Approved,TRUE,750,TRUE,11/27/2010 22:19,5,TRUE,21,44.01,500,5,39.37,84120,EdaJRawlins@yahoo.com,124002971,1 year or more,7-12 months,1-2 years,Weekly,Mobile,None,Other,4000,716,507,520,660,557,-1
32afdd828f,500,8/3/1978 00:00,Approved,TRUE,650,FALSE,11/29/2010 04:42,5,TRUE,10,92.17,500,5,82.58,84104,ClaudiaDSykes@yahoo.com,73972181,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,None,Other,1400,763,522,535,647,576,-1
39e522717c,400,1/8/1979 00:00,Approved,TRUE,0,TRUE,11/29/2010 08:17,8,TRUE,13,61.91,400,6,54.06,84067,GregorySStewart@yahoo.com,124002971,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,1200,546,559,616,643,601,1
8786986d4c,800,8/13/1983 00:00,Approved,TRUE,700,FALSE,11/29/2010 11:22,3,TRUE,6,221.57,800,3,204.9,84020,NannieLBoice@yahoo.com,124000054,1 year or more,3+ years,1-2 years,Semi-monthly,Mobile,None,Other,2700,660,549,565,663,585,-1
831b70959f,700,12/12/1984 00:00,Approved,FALSE,1500,TRUE,11/30/2010 10:27,5,TRUE,21,44.01,500,5,39.37,84110,ChristopherNSpikes@bing.com,123545978,1 year or more,3+ years,6 months or less,Weekly,Mobile,None,Other,2400,50,222,222,222,222,1
90901a8096,800,4/6/1967 00:00,Approved,TRUE,530,TRUE,11/30/2010 14:33,3,TRUE,3,284.69,500,3,261.37,84128,MaryWCook@hotmail.com,324377516,4-12 months,6 months or less,6 months or less,Monthly,Mobile,None,Other,900,732,516,557,656,583,1
831105c88c,500,10/9/1978 00:00,Approved,TRUE,475,FALSE,11/30/2010 22:05,5,TRUE,21,44.01,500,5,39.37,84118,RichardJSavage@bing.com,122238585,1 year or more,3+ years,7-12 months,Weekly,Home,Mobile,Other,2400,541,510,539,630,589,-1
b428a201ef,300,9/19/1957 00:00,Approved,FALSE,600,TRUE,12/1/2010 09:33,5,TRUE,10,55.3,300,5,49.55,84066,LindaRRodriguez@yahoo.com,324379705,1 year or more,3+ years,1-2 years,Bi-weekly,Mobile,None,Other,1400,574,560,581,680,616,1
35f2509873,800,5/13/1954 00:00,Approved,TRUE,600,TRUE,12/2/2010 08:20,6,TRUE,13,77.39,500,6,67.57,84660,MaryCForster@yahoo.com,324379763,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Work,Other,2042,544,618,657,708,639,-1
669311c476,500,5/21/1981 00:00,Approved,FALSE,0,TRUE,12/3/2010 17:10,5,TRUE,10,92.17,500,5,82.58,84120,LarryKBarnes@bing.com,124001545,4-12 months,3+ years,6 months or less,Bi-weekly,Mobile,Home,Other,3152,577,501,525,632,564,1
a229b97fcc,800,1/1/1981 00:00,Approved,TRUE,200,TRUE,12/4/2010 13:47,6,TRUE,12,134.45,800,6,117.34,84088,EulaHMoeller@yahoo.com,324377202,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,None,Other,2200,734,544,556,680,589,1
a7e545c03d,500,8/10/1966 00:00,Approved,TRUE,400,TRUE,12/4/2010 19:18,5,TRUE,10,92.17,500,5,82.58,84084,DennisABell@gmail.com,124002971,1 year or more,6 months or less,3+ years,Bi-weekly,Mobile,None,Other,1600,716,546,540,657,590,1
ce9b5c8623,700,6/15/1968 00:00,Approved,TRUE,635,TRUE,12/6/2010 18:51,8,TRUE,17,92.64,700,8,78.37,84120,EvaGWilson@yahoo.com,124000054,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,None,Other,1514,713,522,548,622,607,-1
3c3a9ad8e8,800,4/2/1982 00:00,Approved,FALSE,0,FALSE,12/7/2010 10:54,6,TRUE,13,123.82,800,6,108.12,84501,AliceCBateman@hotmail.com,324079539,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,1100,719,621,692,731,618,-1
021b03f1b5,500,8/12/1973 00:00,Approved,TRUE,1250,TRUE,12/8/2010 18:56,5,TRUE,21,44.01,500,5,39.37,84606,JoanDBaze@hotmail.com,324079500,1 year or more,1-2 years,1-2 years,Weekly,Home,Mobile,Other,6000,663,618,682,703,630,1
7a8b40eb75,500,12/30/1972 00:00,Approved,FALSE,450,TRUE,12/9/2010 09:42,5,TRUE,10,94.7,500,5,84.18,84118,EugeniaDSmith@aol.com,124002971,1 year or more,3+ years,1-2 years,Semi-monthly,Mobile,None,Other,2200,661,547,580,676,612,-1
07e2ff471b,700,6/4/1981 00:00,Approved,TRUE,300,TRUE,12/9/2010 09:55,8,TRUE,34,45.86,700,8,38.86,84044,KimTWoodall@aol.com,324377202,1 year or more,1-2 years,1-2 years,Weekly,Mobile,Work,Other,1550,733,557,587,656,604,1
b4c59c7612,500,11/12/1974 00:00,Approved,TRUE,600,TRUE,12/9/2010 13:06,5,TRUE,10,92.17,500,5,82.58,84015,BryceEChurchill@yahoo.com,324377516,1 year or more,1-2 years,7-12 months,Bi-weekly,Mobile,Work,Other,2460,530,599,644,673,627,-1
e13fec332e,800,9/11/1970 00:00,Approved,FALSE,1000,TRUE,12/10/2010 22:08,8,TRUE,13,77.39,500,6,67.57,84067,MarionJHarris@yahoo.com,124001545,1 year or more,3+ years,7-12 months,Bi-weekly,Mobile,Home,Other,2200,612,679,718,756,618,-1
5d30f10075,800,4/29/1966 00:00,Approved,FALSE,1050,TRUE,12/11/2010 11:31,8,TRUE,16,113.77,800,8,95.96,84067,JoniKSalter@hotmail.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,None,Other,4800,765,614,655,684,627,1
3b7cef3bf7,300,9/21/1984 00:00,Approved,TRUE,500,FALSE,12/12/2010 10:31,8,TRUE,12,50.42,300,6,44,84119,EugeneNHartmann@yahoo.com,124001545,1 year or more,1-2 years,1-2 years,Semi-monthly,Mobile,Home,Other,2200,759,531,579,608,559,-1
68283e555e,800,4/1/1984 00:00,Approved,TRUE,200,TRUE,12/11/2010 12:29,8,TRUE,13,77.39,500,6,67.57,84044,LouiseWCrouse@yahoo.com,324377516,1 year or more,1-2 years,7-12 months,Bi-weekly,Home,None,Other,1800,559,550,635,631,592,1
88bc9b54ef,500,3/17/1971 00:00,Approved,FALSE,250,TRUE,12/11/2010 13:46,5,TRUE,5,193.91,500,5,171.47,84404,DebraHSparks@gmail.com,73972181,1 year or more,3+ years,7-12 months,Monthly,Home,Mobile,Other,2102,599,568,588,659,580,1
e1e9512a7a,600,8/17/1983 00:00,Approved,TRUE,425,TRUE,12/11/2010 13:58,5,TRUE,10,92.17,500,5,82.58,84123,VickieMLewis@aol.com,324379828,1 year or more,6 months or less,3+ years,Bi-weekly,Mobile,None,Other,1800,734,515,501,632,567,1
8933adf997,800,2/13/1963 00:00,Approved,TRUE,800,TRUE,12/11/2010 23:31,4,TRUE,17,81.87,800,4,74.6,84120,HaroldMOReilly@hotmail.com,324377516,1 year or more,3+ years,3+ years,Weekly,Mobile,None,Other,1980,582,561,599,680,633,-1
c701d6ea24,500,8/9/1968 00:00,Approved,TRUE,850,TRUE,12/12/2010 14:49,5,TRUE,10,92.17,500,5,82.58,84118,WillieMBrown@bing.com,124002971,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Work,Other,1900,639,534,607,608,558,-1
d197fd3d12,500,3/23/1969 00:00,Approved,TRUE,900,TRUE,12/13/2010 07:21,5,TRUE,10,92.17,500,5,82.58,84075,JanetCHarrell@gmail.com,124000737,1 year or more,3+ years,3+ years,Bi-weekly,Home,None,Other,3400,602,603,643,671,606,-1
8be01a4e5b,500,7/10/1977 00:00,Approved,TRUE,0,TRUE,12/13/2010 12:47,5,TRUE,21,44.01,500,5,39.37,84065,KevinKMiller@bing.com,122244171,1 year or more,1-2 years,6 months or less,Weekly,Mobile,None,Other,1200,664,509,517,564,588,-1
5a7c6c7fd9,800,10/10/1970 00:00,Approved,FALSE,1400,TRUE,12/13/2010 14:54,5,TRUE,10,147.47,800,5,132.13,84074,LawrenceCDonato@aol.com,324379828,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,3100,678,569,585,680,631,-1
4801b08d2c,500,12/8/1971 00:00,Approved,FALSE,676,TRUE,12/14/2010 08:22,5,TRUE,10,92.17,500,5,82.58,84414,DarleneTOrtega@yahoo.com,124001545,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,None,Other,2392,780,559,540,660,581,-1
3e7ae01d2f,800,8/7/1964 00:00,Approved,FALSE,1216,TRUE,12/14/2010 12:06,5,TRUE,5,193.91,500,5,171.47,84414,SuzyPPrice@aol.com,124000054,1 year or more,3+ years,3+ years,Monthly,Home,Mobile,Other,4703,542,603,590,680,637,-1
